names,Date,Kicker Name,Kicker Position,(Lefty RIghty),Kicker Ability %,Quad. of Ball,GoalKeeper,Goalie %,Goalie Height (m),Kickers Steps,Quad. of Goalie,Missed/Saved/Goal,Spread(at the time
David,23/03/2025,Cristiano Ronaldo,Centre-Forward,R,82,6,Kasper Schmeichel,27,1.89,11,6,Saved,0
David,01/07/2018,Luka Modrić,Central Midfield,R,80,6,Kasper Schmeichel,27,1.89,9,6,Saved,0
David,28/12/2021,Mohamed Salah ,Right Winger,L,83,4,Kasper Schmeichel,27,1.89,12,4,Saved,0
David,31/03/2018,Glenn Murray,Centre-Forward,R,70,6,Kasper Schmeichel,27,1.89,4,6,Saved,0
David,23/06/2020,Neal Maupay,Centre-Forward,R,65,4,Kasper Schmeichel,27,1.89,7,4,Saved,0
David,21/06/2018,Mile Jedinak,Defensive Midfield,R,100,6,Kasper Schmeichel,27,1.89,4,4,Goal,-1
David,02/11/2025,James Tavernier,Right-Back,R,80,4,Kasper Schmeichel,27,1.89,12,4,Goal,-1
David,26/10/2025	,Lawrence Shankland,Centre-Forward,R,81,4,Kasper Schmeichel,27,1.89,9,4,Goal,1
David,5/10/2025,Apostolos Stamatelopoulos,Centre-Forward,R,90,1,Kasper Schmeichel,27,1.89,7,4,Goal,0
David,11/01/2025,Jordan White,Centre-Forward,R,74,6,Kasper Schmeichel,27,1.89,6,4,Goal,-1
David,23/11/2022	,	Alphonso Davies,Left-Back,L,67,4,Thibaut Courtois,17,2,4,4,Saved,0
David,16/04/2025	,Bukayo Saka,Right Winger,L,84,4,Thibaut Courtois,17,2,11,4,Saved,0
David,02/11/2022,Josip Juranovic,Right-Back,R,75,4,Thibaut Courtois,17,2,5,4,Saved,-2
David,16/01/2022,Raúl García,Attacking Midfield,R,79,5,Thibaut Courtois,17,2,4,5,Saved,-2
David,23/08/2015	,James Morrison,Central Midfield,R,67,5,Thibaut Courtois,17,2,7,5,Saved,0
David,05/07/2025,Serhou Guirassy,Centre-Forward,R,82,1,Thibaut Courtois,17,2,4,4,Goal,0
David,18/06/2025	,Rúben Neves,Defensive Midfield,R,90,3,Thibaut Courtois,17,2,10,4,Goal,-1
David,27/09/2025,Julián Alvarez,Centre-Forward,R,88,6,Thibaut Courtois,17,2,4,6,Goal,0
David,13/09/2025,Mikel Oyarzabal,Centre-Forward,L,90,6,Thibaut Courtois,17,2,7,4,Goal,-2
David,01/03/2025,Isco,Attacking Midfield,R,88,4,Thibaut Courtois,17,2,10,4,Goal,0
David,01/07/2024,Cristiano Ronaldo,Centre-Forward,R,82,6,Jan Oblak,21,1.88,5,6,Saved,0
David,09/01/2022,Gerard Moreno,Centre-Forward,L,79,4,Jan Oblak,21,1.88,9,4,Saved,-1
David,21/03/2021	,Joselu,Centre-Forward,R,74,4,Jan Oblak,21,1.88,8,4,Saved,-1
David,04/04/2021,Lucas Ocampos,Left Winger,R,89,6,Jan Oblak,21,1.88,7,6,Saved,0
David,12/05/2018,Fayçal Fajr,Central Midfield,R,67,4,Jan Oblak,21,1.88,6,4,Saved,-1
David,30/08/2025	,Carlos Vicente,Right Winger,R,100,6,Jan Oblak,21,1.88,5,4,Goal,-1
David,15/06/2025	,Kang-in Lee,Right Winger,R,100,4,Jan Oblak,21,1.88,5,6,Goal,3
David,14/04/2025,Mamadou Sylla,Centre-Forward,R,75,5,Jan Oblak,21,1.88,4,6,Goal,0
David,11/12/2024,David Strelec,Centre-Forward,L,100,6,Jan Oblak,21,1.88,5,4,Goal,-2
David,23/10/2024	,Jonathan David,Centre-Forward,R,78,2,Jan Oblak,21,1.88,5,4,Goal,0
David,03/11/2025,Myrto Uzuni,Left Winger,R,76,5,Hugo Lloris,10,1.88,5,5,Saved,-2
David,02/02/2020,İlkay Gündoğan,Central Midfield,R,81,6,Hugo Lloris,10,1.88,4,6,Saved,0
David,09/04/2019,Sergio Agüero,Centre-Forward,R,77,4,Hugo Lloris,10,1.88,7,4,Saved,0
David,02/03/2019,Pierre-Emerick Aubameyang,Centre-Forward,R,78,4,Hugo Lloris,10,1.88,6,4,Saved,0
David,22/11/2016	,Radamel Falcao,Centre-Forward,R,74,4,Hugo Lloris,10,1.88,4,4,Saved,0
David,03/11/2025,Daniel Pereira,Central Midfield,R,100,4,Hugo Lloris,10,1.88,7,4,Goal,-3
David,20/07/2025,Gabriel Pec,Right Winger,L,50,4,Hugo Lloris,10,1.88,10,6,Goal,-2
David,01/06/2025,Brian Rodríguez,Left Winger,R,100,5,Hugo Lloris,10,1.88,9,4,Goal,0
David,25/05/2025	,Prince Owusu,Centre-Forward,L,89,6,Hugo Lloris,10,1.88,4,4,Goal,1
David,20/04/2025,Felipe Mora,Centre-Forward,R,80,4,Hugo Lloris,10,1.88,6,4,Goal,0
David,17/08/2024	,Junior Messias,Right Winger,L,0,5,Yann Sommer,17,1.83,4,5,Saved,0
David,28/01/2024,	Nico González,Left Winger,R,86,4,Yann Sommer,17,1.83,4,4,Saved,-1
David,27/09/2022,Tomáš Souček,Defensive Midfield,R,71,4,Yann Sommer,17,1.83,9,4,Saved,-1
David,05/09/2021,Jorginho,Defensive Midfield,R,85,6,Yann Sommer,17,1.83,7,6,Saved,0
David,14/11/2020	,Sergio Ramos,Centre-Back,R,86,2,Yann Sommer,17,1.83,6,2,Saved,-1
David,25/10/2025,Kevin De Bruyne,Attacking Midfield,R,88,4,Yann Sommer,17,1.83,5,4,Goal,0
David,31/08/2025,Keinan Davis,Centre-Forward,L,75,6,Yann Sommer,17,1.83,11,5,Goal,-1
David,11/03/2025,Jakub Moder,Central Midfield,R,100,4,Yann Sommer,17,1.83,9,4,Goal,-1
David,05/10/2024,Nikola Vlašić,Attacking Midfield,R,69,6,Yann Sommer,17,1.83,5,6,Goal,-2
David,13/01/2024,Matteo Pessina,Central Midfield,L,93,4,Yann Sommer,17,1.83,5,5,Goal,1
Jacob,25/05/2025,Erling Haaland,Centre-Forward,L,84,4,Bernd Leno,15,1.89,5,6,Goal,1
Jacob,15/03/25 ,Erling Haaland,Centre-Forward,L,84,6,Bart Verbruggen,4,1.94,3,4,Goal,0
Jacob,14/05/2024,Erling Haaland,Centre-Forward,L,84,1,Guglielmo Vicario,13,1.94,3,6,Goal,1
Jacob,12/11/2023,Erling Haaland,Centre-Forward,L,84,4,Robert Sánchez,11,1.97,3,5,Goal,0
Jacob,29/10/23  ,Erling Haaland,Centre-Forward,L,84,6,André Onana,14,1.9,3,4,Goal,0
Jacob,09/11/2025,Erling Haaland,Centre-Forward,L,84,6,Giorgi Mamardashvili,26,1.97,3,6,Saved,0
Jacob,11/10/2025,Erling Haaland,Centre-Forward,L,84,6,Daniel Peretz,29,1.9,4,6,Saved,0
Jacob,21/04/2021,Erling Haaland,Centre-Forward,L,84,6,Andreas Luthe,20,1.95,4,6,Saved,0
Jacob,30/03/2025,Erling Haaland,Centre-Forward,L,84,6,Kepa Arrizabalaga,24,1.88,3,6,Saved,0
Jacob,26/03/2024,Erling Haaland,Centre-Forward,L,84,6,Marek Rodák,17,1.94,3,6,Saved,1
Jacob,30/08/2025,Bruno Fernandes,Attacking Midfield,R,89,4,Martin Dúbravka,14,1.91,4,4,Goal,0
Jacob,19/01/2025,Bruno Fernandes,Attacking Midfield,R,89,5,Bart Verbruggen,4,1.94,4,6,Goal,-1
Jacob,03/11/2024,Bruno Fernandes,Attacking Midfield,R,89,4,Robert Sánchez,11,1.97,4,6,Goal,0
Jacob,13/04/2024,Bruno Fernandes,Attacking Midfield,R,89,6,Neto,10,1.9,3,4,Goal,-1
Jacob,09/03/2024,Bruno Fernandes,Attacking Midfield,R,89,6,Jordan Pickford,16,1.85,4,6,Goal,0
Jacob,27/09/2025,Bruno Fernandes,Attacking Midfield,R,89,6,Caoimhín Kelleher,23,1.88,6,6,Saved,-1
Jacob,24/08/2025,Bruno Fernandes,Attacking Midfield,R,89,7,Bernd Leno,15,1.9,11,4,Missed,0
Jacob,06/12/2023,Bruno Fernandes,Attacking Midfield,R,89,4,Robert Sánchez,11,1.97,11,4,Saved,0
Jacob,23/04/2022,Bruno Fernandes,Attacking Midfield,R,89,7,Aaron Ramsdale,15,1.9,11,4,Missed,-1
Jacob,17/10/2020,Bruno Fernandes,Attacking Midfield,R,89,4,Karl Darlow,13,1.95,3,4,Saved,0
Jacob,13/12/2022,Lionel Messi,Right Winger,L,78,3,Dominik Livakovic,22,1.88,5,6,Goal,0
Jacob,07/12/2021,Lionel Messi,Right Winger,L,78,6,Simon Mignolet,22,1.93,6,2,Goal,2
Jacob,16/02/2021,Lionel Messi,Right Winger,L,78,3,Keylor Navas,19,1.85,5,6,Goal,0
Jacob,07/03/2020,Lionel Messi,Right Winger,L,78,3,Álex Remiro,16,1.91,3,6,Goal,0
Jacob,09/11/2019,Lionel Messi,Right Winger,L,78,4,Rubén Blanco,4,1.88,8,6,Goal,0
Jacob,30/11/2022,Lionel Messi,Right Winger,L,78,3,Wojciech Szczesny,22,1.95,6,3,Saved,0
Jacob,02/05/2021,Lionel Messi,Right Winger,L,78,4,Jasper Cillessen,16,1.87,4,4,Saved,-1
Jacob,16/02/2019,Lionel Messi,Right Winger,L,78,6,Jordi Masip,15,1.8,3,6,Saved,1
Jacob,12/03/2016,Lionel Messi,Right Winger,L,78,6,Vicente Guaita,12,1.9,4,6,Saved,1
Jacob,21/01/2015,Lionel Messi,Right Winger,L,78,6,Jan Oblak,21,1.88,6,6,Saved,0
Jacob,04/10/2025,Vinicius Junior,Left Winger,R,64,4,Arnau Tenas,0,1.85,9,4,Goal,1
Jacob,18/12/2024,Vinicius Junior,Left Winger,R,64,5,Carlos Moreno,10,1.9,6,5,Goal,2
Jacob,05/11/2024,Vinicius Junior,Left Winger,R,64,2,Mike Maignan,22,1.91,11,4,Goal,-1
Jacob,14/09/2024,Vinicius Junior,Left Winger,R,64,4,Álex Remiro,16,1.91,9,4,Goal,0
Jacob,29/08/2024,Vinicius Junior,Left Winger,R,64,3,Jasper Cillessen,16,1.87,9,6,Goal,-1
Jacob,01/11/2025,Vinicius Junior,Left Winger,R,64,4,Julen Agirrezabala,21,1.87,11,4,Saved,2
Jacob,05/04/2025,Vinicius Junior,Left Winger,R,64,6,Giorgi Mamardashvili,26,1.97,9,6,Saved,0
Jacob,12/03/2025,Vinicius Junior,Left Winger,R,64,7,Jan Oblak,21,1.88,10,6,Missed,-1
Jacob,14/11/2024,Vinicius Junior,Left Winger,R,64,5,Rafael Romo,19,1.97,8,5,Saved,0
Jacob,13/10/2018,Vinicius Junior,Left Winger,R,64,7,Luis Ureta,11,1.79,12,6,Missed,0
Jacob,14/09/2025,Mohamed Salah,Right Winger,L,83,3,Martin Dúbravka,14,1.91,9,4,Goal,0
Jacob,08/03/2025,Mohamed Salah,Right Winger,L,83,1,Aaron Ramsdale,15,1.9,9,4,Goal,0
Jacob,08/04/2025,Mohamed Salah,Right Winger,L,83,3,Aaron Ramsdale,15,1.9,9,4,Goal,1
Jacob,16/02/2025,Mohamed Salah,Right Winger,L,83,2,José Sá,13,1.92,11,6,Goal,1
Jacob,01/02/2025,Mohamed Salah,Right Winger,L,83,6,Kepa Arrizabalaga,24,1.88,11,6,Goal,0
Jacob,01/01/2024,Mohamed Salah,Right Winger,L,83,2,Martin Dúbravka,14,1.91,5,2,Saved,0
Jacob,19/08/2023,Mohamed Salah,Right Winger,L,83,6,Neto,10,1.9,9,6,Saved,0
Jacob,09/04/2023,Mohamed Salah,Right Winger,L,83,7,Aaron Ramsdale,15,1.9,9,4,Missed,-1
Jacob,11/03/2023,Mohamed Salah,Right Winger,L,83,7,Neto,10,1.9,10,6,Missed,-1
Jacob,15/09/2021,Mohamed Salah,Right Winger,L,83,5,Mike Maignan,22,1.91,11,5,Saved,1
Jassenia,05/12/2022,neymar jr ,left winger ,R,81,6,seung-gyu kim,15.0,1.87,8,4,goal,1
Jassenia,28/08/2022,neymar jr ,left winger ,R,81,4,Alexander Nübel,4.0,1.93,12,4,goal,-1
Jassenia,13/06/2021,neymar jr ,left winger ,R,81,6,Joel Graterol,19.0,1.82,11,4,goal,1
Jassenia,24/11/2020,neymar jr ,left winger ,R,81,6,Péter Gulácsi,19.0,1.93,9,6,goal,0
Jassenia,08/03/2017,neymar jr ,left winger ,R,81,6,Kevin Trapp,25.0,1.89,8,4,goal,2
Jassenia,19/10/2016,neymar jr ,left winger ,R,81,6,Willy Caballero,16.0,1.86,7,6,saved,3
Jassenia,11/02/2015,neymar jr ,left winger ,R,81,4,Sergio Asenjo,20.0,1.89,5,4,saved,2
Jassenia,19/02/2022,neymar jr ,left winger ,R,81,6,Alban Lafont,13.0,1.96,7,6,missed,-2
Jassenia,15/11/2012,neymar jr ,left winger ,R,81,7,David Ospina,8.0,1.83,4,5,saved,0
Jassenia,29/09/2023,neymar jr ,left winger ,R,81,1,Seung-gyu Kim,15.0,1.87,6,1,saved,0
Jassenia,16/06/2018,luca modric ,central midfield ,R,81,4,Francis Uzoho,14.0,1.96,5,5,goal,1
Jassenia,15/05/2011,luca modric ,central midfield ,R,81,2,Pepe Reina,15.0,1.88,4,4,goal,1
Jassenia,07/11/2022,luca modric ,central midfield ,R,81,6,Joe Hart,20.0,1.96,6,4,goal,0
Jassenia,13/06/2022,luca modric ,central midfield ,R,81,4,Mike Maignan,22.0,1.91,2,4,goal,0
